word,candidate_edges
cassette,53
invite,53
twenty,53
exactly,53
almost,53
poster,53
zebra,53
sue,52
uneasy,52
if,52
shopping centre,52
sorry,52
uncomfortable,52
advanced,52
disagree,52
might,52
seaside,52
dvd,52
textbook,52
worst,52
euro,52
movie,52
classical music,52
aunt,52
sunflower,52
vase,51
ambition,51
sledge,51
surprising,51
admire,51
paragraph,51
spaghetti,51
boyfriend,51
cheque,51
afternoon,51
sunglasses,51
tom,51
supper,51
worse,51
pat,51
me,50
from,50
automatically,50
lucky,50
inexpensive,50
toothbrush,50
badly,50
such,50
symphony,50
terrify,50
amazing,50
wheelchair,50
chimpanzee,50
skateboard,50
roughly,49
haircut,49
february,49
photographer,49
jane,49
mosque,49
bracelet,49
however,48
bra,48
comic book,48
come on,48
gradually,48
convenient,48
here,48
truly,48
hello,48
nationality,48
giraffe,48
mango,48
sake,48
designer,48
skyscraper,47
heavily,47
tablespoon,47
go away,47
later,47
nick,47
given,47
they,47
invade,47
dress up,47
shut,47
pilgrim,47
go out,47
lovely,47
unnecessary,46
elementary,46
cooler,46
ambulance,46
spaceship,46
hiking,46
get off,46
bike,46
cruise,46
downtown,46
midnight,46
soon,46
nearly,46
september,46
depend,46
also,45
which,45
helpful,45
diary,45
sure,45
pollute,45
robin,45
invitation,44
hike,44
plenty,44
next,44
traffic light,44
waitress,44
toothpaste,44
earring,44
windy,44
maths,44
skating,44
turn on,44
seem,44
everywhere,44
every,44
superlative,44
april,43
loudly,43
kilometre,43
snowboard,43
meta,43
unkind,43
clearly,43
horrible,43
sixth,43
enough,43
sir,43
grandparent,43
pal,43
dizzy,42
campus,42
rating,42
by,42
bonus,42
bookshelf,42
untidy,42
badminton,42
sally,42
cola,42
fetch,41
yet,41
bus station,41
an,41
why,41
chairman,41
pc,41
apparently,41
daisy,41
enormous,41
businessman,41
spotted,41
their,41
download,41
portrait,41
thirty,40
how,40
banking,40
thanks,40
playground,40
yesterday,40
classic,40
bye,40
regularly,40
weekend,40
each,40
eighth,40
lemonade,40
unlike,40
get up,40
worldwide,40
embarrassing,40
thank you,39
blond,39
thirsty,39
wake up,39
ahead,39
escalator,39
photo,39
cycling,39
january,39
laptop,39
monday,39
crayon,39
quiz,38
cafeteria,38
camping,38
actually,38
fairly,38
fifteen,38
frightened,38
turn off,38
crowded,38
washing machine,38
pence,38
twice,37
teenage,37
stair,37
drugstore,37
oh,37
barber,37
december,37
july,37
carefully,37
volleyball,36
rainy,36
homework,36
championship,36
besides,36
june,36
harry,36
bookcase,36
him,36
picnic,36
chips,35
raincoat,35
aged,35
police station,35
would,35
today,35
snowboarding,35
pleased,35
cleaner,35
thirteen,35
quite,35
indeed,35
lonely,34
who,34
she,34
november,34
wow,34
postcard,34
simply,34
ben,34
them,34
apartment,34
fire engine,34
naughty,34
kiwi,34
scary,33
october,33
underline,33
perhaps,33
there,33
kindly,33
grandchild,33
go to bed,33
developed,33
mostly,32
greatly,32
fifty,32
hi,32
sunny,32
bookshop,32
timetable,31
his,31
glad,31
somewhere,31
panda,31
forty,31
remind,31
bored,31
first name,31
sam,30
pyjamas,30
grandma,30
pro,30
never,30
saturday,30
twelfth,30
practice,30
strongly,30
indoor,30
along,30
exam,30
motorbike,30
digital camera,30
snowball,29
george,29
striped,29
text message,29
nowhere,29
daddy,29
sometimes,29
disappointed,29
worried,29
curly,29
should,29
hardly,28
weekday,28
tights,28
dan,28
granny,28
either,28
therefore,28
schoolchild,28
deeply,28
her,28
its,28
my,28
since,28
capital letter,28
laziness,28
widely,28
midday,27
thank,27
those,27
abroad,27
snowy,27
fall over,26
anywhere,26
recently,26
then,26
snowman,26
endangered,26
alice,26
get on,26
maybe,26
friday,26
retired,26
receptionist,26
semester,26
when,25
successfully,25
alarm clock,25
tomorrow,25
foggy,25
well done,25
else,25
surprised,25
seventh,25
sadly,25
missing,25
learner,25
nineteen,25
interested,25
all right,24
eighty,24
sixty,24
skateboarding,24
grandson,24
probably,24
racing car,24
latest,24
polar bear,24
seriously,24
lots,24
finally,24
mineral water,24
fascinating,24
possibly,23
max,23
overseas,23
ninth,23
look for,23
beginner,23
cooker,23
reunion,23
betty,23
brainstorm,23
look after,23
partly,23
quietly,23
find out,22
william,22
hooray,22
table tennis,22
grateful,22
weekly,22
cd player,22
impatient,22
latter,22
fall,22
blonde,22
perfectly,22
fourteen,22
too,22
dressed,22
anyway,21
seventy,21
smoothly,21
sitting room,21
disappointing,21
ice skating,21
until,21
ago,21
oliver,21
blackboard,21
headteacher,21
michael,21
sightseeing,21
tuesday,20
upstairs,20
sixteen,20
jill,20
angrily,20
in front of,20
fire station,20
charlie,20
mainly,20
wednesday,20
watermelon,20
handicapped,19
look at,19
yeah,19
grilled,19
softly,19
next to,19
get to,19
shall,19
sixteenth,19
out of,19
nowadays,18
eighteen,18
app,18
stomachache,18
granddaughter,18
during,18
last name,18
unfortunately,18
roller skating,18
main course,18
guidebook,18
teddy,18
thursday,18
toothache,18
boiled,18
mrs,18
anna,18
than,17
ever,17
ninety,17
instead,17
twentieth,17
boots,17
mr,17
differently,17
correctly,16
petrol station,16
grandpa,16
swimming costume,16
elsewhere,16
your,16
happily,16
olympic,16
baseball cap,16
sarah,16
fred,16
matt,16
seventeen,16
could,15
alright,15
tonight,15
classmate,15
helen,15
shop assistant,15
tennis racket,15
look like,15
of course,15
have got,14
alex,14
go to sleep,14
get dressed,14
footballer,14
no problem,14
olympics,14
hippo,14
jim,14
our,14
thirteenth,14
trainers,14
kilo,14
policewoman,13
eleventh,13
theirs,13
make sure,13
fortunately,13
basically,13
lunchtime,13
ann,13
superstar,13
already,13
seventeenth,13
hugo,13
granddad,12
sleepless,12
city center,12
five hundred,12
silently,12
schoolwork,12
clare,12
me too,11
fourteenth,11
sophia,11
truck,11
see you,11
chopsticks,11
emma,11
tour guide,10
eighteenth,10
amused,10
earache,10
businesswoman,10
luckily,10
nineteenth,10
how much,10
noodles,10
katy,10
these,10
hometown,10
excuse me,9
id card,9
lucy,9
yours,9
kim,9
pants,9
candy,8
olives,8
fifteenth,8
cookie,7
pop star,7
wifi,7
elevator,7
roller skates,7
mom,7
funfair,7
julia,7
ours,7
downstairs,7
soccer,7
headphone,7
importantly,6
interviewer,6
someday,6
zoe,6
whose,6
eva,6
meatballs,5
how many,5
hers,5
ice skates,5
lots of,5
highway,5
oh dear,4
four hundred,4
unforgettable,4
would like,4
three hundred,4
town center,4
how long,3
seven hundred,3
sports centre,3
six hundred,3
anymore,3
two hundred,3
eight hundred,3
go shopping,2
be called,2
nine hundred,2
fire fighter,1
vicky,1
by yourself,0
p.m.,0
a few,0
let's,0
at the moment,0
a lot of,0
a lot,0
straight on,0
washing-up,0
good-looking,0
e-book,0
have [got] to,0
a little,0
how often,0
t-shirt,0
as ... as,0
x-ray,0
well-known,0
o'clock,0
o’clock,0
half-price,0
don't worry,0
take a photo / picture,0
get undressed,0
how old,0
if you want,0
left-hand,0
right-hand,0
no-one,0
in a minute,0
grown-up,0
a.m.,0
by myself,0
you're welcome,0
television / tv,0
stomach-ache,0
make-up,0
